福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,井上　貴博,50,〈元〉県議,自民,新,比例
1,,比江嶋　俊和,65,〈元〉福岡市議,共産,新,
2,,竹内　今日生,38,医師,みんな,新,比例
3,,犬丸　勝子,57,介護事業所経営,無所,新,
4,,松本　龍,61,〈元〉復興相,民主,前,比例
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,頭山　晋太郎,35,〈元〉物流会社員,維新,新,比例
1,,稲富　修二,42,〈元〉丸紅社員,民主,前,比例
2,,小谷　学,39,貿易会社長,未来,新,比例
3,,鬼木　誠,40,〈元〉県議,自民,新,比例
4,,倉元　達朗,45,〈元〉福岡市議,共産,新,
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,川原　康裕,31,民青県委員,共産,新,
1,,藤田　一枝,63,〈元〉厚労政務官,民主,前,比例
2,,寺島　浩幸,51,〈元〉福岡市議,みんな,新,比例
3,,古賀　篤,40,〈元〉財務省職員,自民,新,比例
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,宮内　秀樹,50,〈元〉衆院議員秘書,自民,新,比例
1,,新留　清隆,57,党地区委員長,共産,新,
2,,吉冨　和枝,53,幸福実現党員,諸派,新,
3,,岸本　善成,38,〈元〉県議,民主,新,比例
4,,古賀　敬章,59,〈元〉山口県議,未来,前,比例
5,,河野　正美,51,医療法人理事長,維新,新,比例
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,楠田　大蔵,37,〈元〉防衛政務官,民主,前,比例
1,,原田　義昭,68,弁護士,自民,元,比例
2,,浜武　振一,47,〈元〉筑紫野市議,未来,新,比例
3,,田中　陽二,56,〈元〉赤旗記者,共産,新,
4,,吉田　俊之,56,〈元〉ＫＢＣ記者,維新,新,比例
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,内野　雅晴,36,整骨院副院長,維新,新,比例
1,,金子　睦美,51,党地区副委員長,共産,新,
2,,江口　善明,38,〈元〉県議,無所,新,
3,,古賀　一成,65,〈元〉衆院国交委長,民主,前,比例
4,,鳩山　邦夫,64,〈元〉総務相,無所,前,
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,藤丸　敏,52,〈元〉衆院議員秘書,自民,新,比例
1,,古賀　輝生,49,〈元〉ペット関連業,みんな,新,比例
2,,野田　国義,54,〈元〉八女市長,民主,前,比例
3,,江口　学,38,党地区常任委員,共産,新,
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,麻生　太郎,72,〈元〉首相,自民,前,比例
1,,山本　剛正,40,〈元〉衆院議員秘書,民主,前,比例
2,,新井　高雄,63,〈元〉嘉麻市議,共産,新,
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,真島　省三,49,〈元〉県議,共産,新,比例
1,,荒木　学,47,ペット関連業,維新,新,比例
2,,三原　朝彦,65,〈元〉党国際局長,自民,元,比例
3,,緒方　林太郎,39,〈元〉外務省職員,民主,前,比例
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,山本　幸三,64,〈元〉経産副大臣,自民,前,
1,,高瀬　菜穂子,52,〈元〉県議,共産,新,
2,,佐藤　正夫,57,〈元〉県議,みんな,新,比例
3,,城井　崇,39,〈元〉文科政務官,民主,前,比例
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,武田　良太,44,党県会長,自民,前,比例
1,,山下　登美子,59,党地区常任委員,共産,新,
2,,堀　大助,33,〈元〉弁護士,維新,新,比例
3,,谷瀬　綾子,36,〈元〉党職員,社民,新,比例
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,井上　貴博,50,〈元〉県議,自民,新,比例
1,,比江嶋　俊和,65,〈元〉福岡市議,共産,新,
2,,竹内　今日生,38,医師,みんな,新,比例
3,,犬丸　勝子,57,介護事業所経営,無所,新,
4,,松本　龍,61,〈元〉復興相,民主,前,比例
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,頭山　晋太郎,35,〈元〉物流会社員,維新,新,比例
1,,稲富　修二,42,〈元〉丸紅社員,民主,前,比例
2,,小谷　学,39,貿易会社長,未来,新,比例
3,,鬼木　誠,40,〈元〉県議,自民,新,比例
4,,倉元　達朗,45,〈元〉福岡市議,共産,新,
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,川原　康裕,31,民青県委員,共産,新,
1,,藤田　一枝,63,〈元〉厚労政務官,民主,前,比例
2,,寺島　浩幸,51,〈元〉福岡市議,みんな,新,比例
3,,古賀　篤,40,〈元〉財務省職員,自民,新,比例
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,宮内　秀樹,50,〈元〉衆院議員秘書,自民,新,比例
1,,新留　清隆,57,党地区委員長,共産,新,
2,,吉冨　和枝,53,幸福実現党員,諸派,新,
3,,岸本　善成,38,〈元〉県議,民主,新,比例
4,,古賀　敬章,59,〈元〉山口県議,未来,前,比例
5,,河野　正美,51,医療法人理事長,維新,新,比例
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,楠田　大蔵,37,〈元〉防衛政務官,民主,前,比例
1,,原田　義昭,68,弁護士,自民,元,比例
2,,浜武　振一,47,〈元〉筑紫野市議,未来,新,比例
3,,田中　陽二,56,〈元〉赤旗記者,共産,新,
4,,吉田　俊之,56,〈元〉ＫＢＣ記者,維新,新,比例
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,内野　雅晴,36,整骨院副院長,維新,新,比例
1,,金子　睦美,51,党地区副委員長,共産,新,
2,,江口　善明,38,〈元〉県議,無所,新,
3,,古賀　一成,65,〈元〉衆院国交委長,民主,前,比例
4,,鳩山　邦夫,64,〈元〉総務相,無所,前,
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,藤丸　敏,52,〈元〉衆院議員秘書,自民,新,比例
1,,古賀　輝生,49,〈元〉ペット関連業,みんな,新,比例
2,,野田　国義,54,〈元〉八女市長,民主,前,比例
3,,江口　学,38,党地区常任委員,共産,新,
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,麻生　太郎,72,〈元〉首相,自民,前,比例
1,,山本　剛正,40,〈元〉衆院議員秘書,民主,前,比例
2,,新井　高雄,63,〈元〉嘉麻市議,共産,新,
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,真島　省三,49,〈元〉県議,共産,新,比例
1,,荒木　学,47,ペット関連業,維新,新,比例
2,,三原　朝彦,65,〈元〉党国際局長,自民,元,比例
3,,緒方　林太郎,39,〈元〉外務省職員,民主,前,比例
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
0,,山本　幸三,64,〈元〉経産副大臣,自民,前,
1,,高瀬　菜穂子,52,〈元〉県議,共産,新,
2,,佐藤　正夫,57,〈元〉県議,みんな,新,比例
3,,城井　崇,39,〈元〉文科政務官,民主,前,比例
福岡選挙区, ,名前,年齢,略歴,政党,新旧,重複
